indice,arquivo,rotulo_atual,classe_sugerida,confianca_sugestao
79,corn_bipolaris_spot\IMG1808_0833.JPG,corn_bipolaris_spot,corn_common_rust,0.975
7076,corn_southern_rust\fpon702.jpg,corn_southern_rust,corn_white_spot,0.993
64,corn_bipolaris_spot\HLxbb (81).jpg,corn_bipolaris_spot,corn_common_rust,0.967
14616,soybean_target_spot\target_spot_758.jpg,soybean_target_spot,soybean_healthy,0.882
89,corn_bipolaris_spot\IMG1808_2200.JPG,corn_bipolaris_spot,corn_northern_leaf_blight,0.988
14443,soybean_target_spot\target_spot_522.jpg,soybean_target_spot,soybean_bacterial_blight,0.896
99,corn_bipolaris_spot\IMG1808_9787.JPG,corn_bipolaris_spot,corn_common_rust,0.983
5155,corn_southern_rust\HLnfxb (419).jpg,corn_southern_rust,corn_common_rust,0.993
2299,corn_bipolaris_spot\mbis129.jpg,corn_bipolaris_spot,soybean_target_spot,0.924
6861,corn_southern_rust\fpon393.jpg,corn_southern_rust,corn_white_spot,0.984
14416,soybean_target_spot\target_spot_483.jpg,soybean_target_spot,soybean_bacterial_blight,0.914
36,corn_bipolaris_spot\HLDSC_4312.JPG,corn_bipolaris_spot,corn_northern_leaf_blight,0.881
163,corn_bipolaris_spot\mbip082.jpg,corn_bipolaris_spot,corn_white_spot,0.991
12343,soybean_healthy\healthy_1192.jpg,soybean_healthy,soybean_frog_eye_spot,0.988
2298,corn_bipolaris_spot\mbis128.jpg,corn_bipolaris_spot,soybean_target_spot,0.92
9066,soybean_asian_rust\soybean_rust_990.jpg,soybean_asian_rust,soybean_bacterial_blight,0.989
11143,soybean_frog_eye_spot\frogeye_1066.jpg,soybean_frog_eye_spot,soybean_target_spot,0.982
46,corn_bipolaris_spot\HLxbb (191).jpg,corn_bipolaris_spot,corn_southern_rust,0.606
8812,soybean_asian_rust\soybean_rust_653.jpg,soybean_asian_rust,soybean_bacterial_blight,0.98
1635,corn_bipolaris_spot\mbir190.jpg,corn_bipolaris_spot,corn_white_spot,0.986
43,corn_bipolaris_spot\HLxbb (147).jpg,corn_bipolaris_spot,corn_common_rust,0.88
14606,soybean_target_spot\target_spot_745.jpg,soybean_target_spot,soybean_asian_rust,0.751
5175,corn_southern_rust\HLnfxb (534).jpg,corn_southern_rust,corn_common_rust,0.984
14323,soybean_target_spot\target_spot_366.jpg,soybean_target_spot,soybean_asian_rust,0.78
2737,corn_bipolaris_spot\mbis771.jpg,corn_bipolaris_spot,corn_white_spot,0.927
5110,corn_southern_rust\DSC_0011.jpg,corn_southern_rust,corn_white_spot,0.898
5183,corn_southern_rust\HLnfxb (562).jpg,corn_southern_rust,corn_common_rust,0.972
12019,soybean_frog_eye_spot\frogeye_803.JPG,soybean_frog_eye_spot,soybean_healthy,0.966
2723,corn_bipolaris_spot\mbis749.jpg,corn_bipolaris_spot,corn_white_spot,0.941
41,corn_bipolaris_spot\HLDSC_4464.JPG,corn_bipolaris_spot,corn_southern_rust,0.773
100,corn_bipolaris_spot\IMG1808_9805.JPG,corn_bipolaris_spot,corn_common_rust,0.97
366,corn_bipolaris_spot\mbip372.jpg,corn_bipolaris_spot,corn_southern_rust,0.948
38,corn_bipolaris_spot\HLDSC_4353.JPG,corn_bipolaris_spot,corn_common_rust,0.893
7263,corn_southern_rust\fpon969.jpg,corn_southern_rust,soybean_target_spot,0.949
13349,soybean_target_spot\DSC_0051.jpg,soybean_target_spot,soybean_asian_rust,0.962
11345,soybean_frog_eye_spot\frogeye_1334.JPG,soybean_frog_eye_spot,soybean_asian_rust,0.859
5114,corn_southern_rust\DSC_0287.JPG,corn_southern_rust,corn_white_spot,0.907
14483,soybean_target_spot\target_spot_572.jpg,soybean_target_spot,soybean_bacterial_blight,0.96
322,corn_bipolaris_spot\mbip311.jpg,corn_bipolaris_spot,corn_southern_rust,0.951
90,corn_bipolaris_spot\IMG1808_2262.JPG,corn_bipolaris_spot,corn_common_rust,0.971
96,corn_bipolaris_spot\IMG1808_9766.JPG,corn_bipolaris_spot,corn_common_rust,0.969
74,corn_bipolaris_spot\IMG1808_0689.JPG,corn_bipolaris_spot,corn_common_rust,0.968
14090,soybean_target_spot\target_spot_1033.jpg,soybean_target_spot,soybean_frog_eye_spot,0.862
654,corn_bipolaris_spot\mbip785.jpg,corn_bipolaris_spot,soybean_target_spot,0.851
9286,soybean_bacterial_blight\aug_bright_bacterial_blight_372.jpg,soybean_bacterial_blight,soybean_frog_eye_spot,0.801
8848,soybean_asian_rust\soybean_rust_696.jpg,soybean_asian_rust,soybean_frog_eye_spot,0.936
5176,corn_southern_rust\HLnfxb (535).jpg,corn_southern_rust,corn_common_rust,0.968
827,corn_bipolaris_spot\mbiq037.jpg,corn_bipolaris_spot,corn_white_spot,0.969
5116,corn_southern_rust\DSC_0392.JPG,corn_southern_rust,corn_white_spot,0.927
2715,corn_bipolaris_spot\mbis734.jpg,corn_bipolaris_spot,corn_white_spot,0.951
6432,corn_southern_rust\fpom802.jpg,corn_southern_rust,corn_white_spot,0.681
12390,soybean_healthy\healthy_1258.jpg,soybean_healthy,soybean_frog_eye_spot,0.941
2681,corn_bipolaris_spot\mbis686.jpg,corn_bipolaris_spot,corn_southern_rust,0.934
603,corn_bipolaris_spot\mbip713.jpg,corn_bipolaris_spot,soybean_target_spot,0.949
11959,soybean_frog_eye_spot\frogeye_723.JPG,soybean_frog_eye_spot,soybean_healthy,0.967
12189,soybean_healthy\healthy_1001.jpg,soybean_healthy,soybean_frog_eye_spot,0.771
1074,corn_bipolaris_spot\mbiq402.jpg,corn_bipolaris_spot,corn_white_spot,0.966
12387,soybean_healthy\healthy_1254.jpg,soybean_healthy,soybean_frog_eye_spot,0.961
273,corn_bipolaris_spot\mbip238.jpg,corn_bipolaris_spot,corn_white_spot,0.936
11537,soybean_frog_eye_spot\frogeye_198.jpg,soybean_frog_eye_spot,soybean_asian_rust,0.964
606,corn_bipolaris_spot\mbip717.jpg,corn_bipolaris_spot,corn_southern_rust,0.537
1684,corn_bipolaris_spot\mbir262.jpg,corn_bipolaris_spot,soybean_target_spot,0.829
8921,soybean_asian_rust\soybean_rust_787.jpg,soybean_asian_rust,soybean_frog_eye_spot,0.947
205,corn_bipolaris_spot\mbip146.jpg,corn_bipolaris_spot,corn_southern_rust,0.899
1211,corn_bipolaris_spot\mbiq582.jpg,corn_bipolaris_spot,corn_white_spot,0.96
11314,soybean_frog_eye_spot\frogeye_1293.jpg,soybean_frog_eye_spot,soybean_asian_rust,0.874
7021,corn_southern_rust\fpon623.jpg,corn_southern_rust,corn_common_rust,0.939
8779,soybean_asian_rust\soybean_rust_608.jpg,soybean_asian_rust,soybean_bacterial_blight,0.959
7228,corn_southern_rust\fpon913.jpg,corn_southern_rust,corn_bipolaris_spot,0.959
5113,corn_southern_rust\DSC_0065.jpg,corn_southern_rust,corn_white_spot,0.855
10912,soybean_bacterial_blight\bacterial_blight_372.jpg,soybean_bacterial_blight,soybean_frog_eye_spot,0.802
12585,soybean_healthy\healthy_151.jpg,soybean_healthy,soybean_frog_eye_spot,0.945
14112,soybean_target_spot\target_spot_1066.jpg,soybean_target_spot,soybean_asian_rust,0.79
7001,corn_southern_rust\fpon597.jpg,corn_southern_rust,corn_white_spot,0.85
80,corn_bipolaris_spot\IMG1808_0869.JPG,corn_bipolaris_spot,corn_common_rust,0.943
422,corn_bipolaris_spot\mbip453.jpg,corn_bipolaris_spot,corn_white_spot,0.926
7601,corn_white_spot\mbra366.jpg,corn_white_spot,corn_southern_rust,0.827
11341,soybean_frog_eye_spot\frogeye_1326.JPG,soybean_frog_eye_spot,soybean_asian_rust,0.904
431,corn_bipolaris_spot\mbip465.jpg,corn_bipolaris_spot,corn_white_spot,0.893
5189,corn_southern_rust\fpol005.jpg,corn_southern_rust,corn_white_spot,0.654
527,corn_bipolaris_spot\mbip598.jpg,corn_bipolaris_spot,corn_white_spot,0.904
166,corn_bipolaris_spot\mbip085.jpg,corn_bipolaris_spot,corn_white_spot,0.953
454,corn_bipolaris_spot\mbip495.jpg,corn_bipolaris_spot,corn_southern_rust,0.936
494,corn_bipolaris_spot\mbip549.jpg,corn_bipolaris_spot,corn_southern_rust,0.753
414,corn_bipolaris_spot\mbip441.jpg,corn_bipolaris_spot,corn_southern_rust,0.941
285,corn_bipolaris_spot\mbip254.jpg,corn_bipolaris_spot,corn_white_spot,0.938
14232,soybean_target_spot\target_spot_25.jpg,soybean_target_spot,soybean_frog_eye_spot,0.854
13143,soybean_healthy\healthy_774.jpg,soybean_healthy,soybean_frog_eye_spot,0.733
5993,corn_southern_rust\fpom194.jpg,corn_southern_rust,soybean_target_spot,0.922
861,corn_bipolaris_spot\mbiq086.jpg,corn_bipolaris_spot,corn_white_spot,0.95
11873,soybean_frog_eye_spot\frogeye_618.jpg,soybean_frog_eye_spot,soybean_healthy,0.944
1009,corn_bipolaris_spot\mbiq308.jpg,corn_bipolaris_spot,corn_white_spot,0.946
14399,soybean_target_spot\target_spot_462.jpg,soybean_target_spot,soybean_frog_eye_spot,0.841
10,corn_bipolaris_spot\DSC_0069.jpg,corn_bipolaris_spot,corn_white_spot,0.932
426,corn_bipolaris_spot\mbip458.jpg,corn_bipolaris_spot,corn_white_spot,0.941
101,corn_bipolaris_spot\IMG1808_9860.JPG,corn_bipolaris_spot,corn_common_rust,0.913
379,corn_bipolaris_spot\mbip387.jpg,corn_bipolaris_spot,corn_southern_rust,0.897
59,corn_bipolaris_spot\HLxbb (518).jpg,corn_bipolaris_spot,corn_southern_rust,0.687
7262,corn_southern_rust\fpon968.jpg,corn_southern_rust,soybean_target_spot,0.93
8970,soybean_asian_rust\soybean_rust_856.jpg,soybean_asian_rust,soybean_bacterial_blight,0.945
7239,corn_southern_rust\fpon927.jpg,corn_southern_rust,corn_bipolaris_spot,0.836
1215,corn_bipolaris_spot\mbiq588.jpg,corn_bipolaris_spot,corn_southern_rust,0.94
14127,soybean_target_spot\target_spot_116.jpg,soybean_target_spot,soybean_healthy,0.856
271,corn_bipolaris_spot\mbip236.jpg,corn_bipolaris_spot,corn_white_spot,0.93
66,corn_bipolaris_spot\IMG1808_0506.JPG,corn_bipolaris_spot,corn_common_rust,0.915
12190,soybean_healthy\healthy_1002.jpg,soybean_healthy,soybean_frog_eye_spot,0.92
5149,corn_southern_rust\HLnfxb (364).jpg,corn_southern_rust,corn_common_rust,0.907
2412,corn_bipolaris_spot\mbis289.jpg,corn_bipolaris_spot,corn_southern_rust,0.932
2464,corn_bipolaris_spot\mbis353.jpg,corn_bipolaris_spot,corn_white_spot,0.938
1542,corn_bipolaris_spot\mbir062.jpg,corn_bipolaris_spot,corn_white_spot,0.935
8843,soybean_asian_rust\soybean_rust_691.jpg,soybean_asian_rust,soybean_bacterial_blight,0.929
1890,corn_bipolaris_spot\mbir545.jpg,corn_bipolaris_spot,corn_southern_rust,0.918
899,corn_bipolaris_spot\mbiq136.jpg,corn_bipolaris_spot,corn_southern_rust,0.931
395,corn_bipolaris_spot\mbip413.jpg,corn_bipolaris_spot,corn_white_spot,0.922
162,corn_bipolaris_spot\mbip078.jpg,corn_bipolaris_spot,corn_white_spot,0.934
6379,corn_southern_rust\fpom737.jpg,corn_southern_rust,soybean_target_spot,0.925
7290,corn_southern_rust\fpoo005.jpg,corn_southern_rust,corn_bipolaris_spot,0.692
14435,soybean_target_spot\target_spot_511.jpg,soybean_target_spot,soybean_frog_eye_spot,0.804
12497,soybean_healthy\healthy_1395.jpg,soybean_healthy,soybean_frog_eye_spot,0.922
230,corn_bipolaris_spot\mbip181.jpg,corn_bipolaris_spot,corn_white_spot,0.89
256,corn_bipolaris_spot\mbip214.jpg,corn_bipolaris_spot,corn_southern_rust,0.661
9,corn_bipolaris_spot\DSC_0063.jpg,corn_bipolaris_spot,corn_white_spot,0.891
2730,corn_bipolaris_spot\mbis763.jpg,corn_bipolaris_spot,corn_white_spot,0.884
7732,corn_white_spot\mbra548.jpg,corn_white_spot,corn_bipolaris_spot,0.533
7243,corn_southern_rust\fpon936.jpg,corn_southern_rust,corn_bipolaris_spot,0.78
7501,corn_white_spot\mbra215.jpg,corn_white_spot,corn_southern_rust,0.858
2,corn_bipolaris_spot\DSC_0021.jpg,corn_bipolaris_spot,corn_white_spot,0.918
13353,soybean_target_spot\DSC_0059.jpg,soybean_target_spot,soybean_asian_rust,0.916
609,corn_bipolaris_spot\mbip721.jpg,corn_bipolaris_spot,corn_southern_rust,0.723
639,corn_bipolaris_spot\mbip764.jpg,corn_bipolaris_spot,corn_white_spot,0.899
11207,soybean_frog_eye_spot\frogeye_1151.JPG,soybean_frog_eye_spot,soybean_healthy,0.912
184,corn_bipolaris_spot\mbip111.jpg,corn_bipolaris_spot,corn_white_spot,0.743
2402,corn_bipolaris_spot\mbis272.jpg,corn_bipolaris_spot,corn_southern_rust,0.923
35,corn_bipolaris_spot\DSC_0233.JPG,corn_bipolaris_spot,corn_white_spot,0.884
424,corn_bipolaris_spot\mbip455.jpg,corn_bipolaris_spot,corn_white_spot,0.816
604,corn_bipolaris_spot\mbip714.jpg,corn_bipolaris_spot,corn_southern_rust,0.583
1359,corn_bipolaris_spot\mbiq805.jpg,corn_bipolaris_spot,corn_white_spot,0.923
13912,soybean_target_spot\malv746.jpg,soybean_target_spot,corn_southern_rust,0.871
8842,soybean_asian_rust\soybean_rust_690.jpg,soybean_asian_rust,soybean_bacterial_blight,0.919
7729,corn_white_spot\mbra544.jpg,corn_white_spot,corn_southern_rust,0.567
237,corn_bipolaris_spot\mbip190.jpg,corn_bipolaris_spot,corn_southern_rust,0.788
311,corn_bipolaris_spot\mbip294.jpg,corn_bipolaris_spot,corn_white_spot,0.893
12749,soybean_healthy\healthy_273.jpg,soybean_healthy,soybean_frog_eye_spot,0.915
32,corn_bipolaris_spot\DSC_0160.JPG,corn_bipolaris_spot,corn_white_spot,0.874
7143,corn_southern_rust\fpon794.jpg,corn_southern_rust,corn_bipolaris_spot,0.911
2261,corn_bipolaris_spot\mbis079.jpg,corn_bipolaris_spot,corn_southern_rust,0.834
8898,soybean_asian_rust\soybean_rust_758.jpg,soybean_asian_rust,soybean_bacterial_blight,0.852
308,corn_bipolaris_spot\mbip288.jpg,corn_bipolaris_spot,corn_white_spot,0.854
7238,corn_southern_rust\fpon925.jpg,corn_southern_rust,corn_bipolaris_spot,0.831
188,corn_bipolaris_spot\mbip116.jpg,corn_bipolaris_spot,corn_southern_rust,0.878
6994,corn_southern_rust\fpon588.jpg,corn_southern_rust,corn_white_spot,0.545
886,corn_bipolaris_spot\mbiq121.jpg,corn_bipolaris_spot,corn_southern_rust,0.891
251,corn_bipolaris_spot\mbip207.jpg,corn_bipolaris_spot,corn_white_spot,0.823
949,corn_bipolaris_spot\mbiq211.jpg,corn_bipolaris_spot,corn_white_spot,0.872
13351,soybean_target_spot\DSC_0052.jpg,soybean_target_spot,soybean_asian_rust,0.903
2429,corn_bipolaris_spot\mbis308.jpg,corn_bipolaris_spot,corn_white_spot,0.909
7314,corn_southern_rust\fpoo043.jpg,corn_southern_rust,corn_bipolaris_spot,0.893
248,corn_bipolaris_spot\mbip204.jpg,corn_bipolaris_spot,corn_southern_rust,0.545
2623,corn_bipolaris_spot\mbis594.jpg,corn_bipolaris_spot,corn_southern_rust,0.787
14768,soybean_target_spot\target_spot_96.jpg,soybean_target_spot,soybean_healthy,0.799
547,corn_bipolaris_spot\mbip624.jpg,corn_bipolaris_spot,corn_white_spot,0.902
8028,soybean_asian_rust\soybean_rust_1111.jpg,soybean_asian_rust,soybean_bacterial_blight,0.904
12747,soybean_healthy\healthy_271.jpg,soybean_healthy,soybean_frog_eye_spot,0.894
239,corn_bipolaris_spot\mbip192.jpg,corn_bipolaris_spot,corn_southern_rust,0.833
6881,corn_southern_rust\fpon425.jpg,corn_southern_rust,corn_bipolaris_spot,0.514
450,corn_bipolaris_spot\mbip490.jpg,corn_bipolaris_spot,corn_southern_rust,0.835
2521,corn_bipolaris_spot\mbis444.jpg,corn_bipolaris_spot,corn_white_spot,0.842
7279,corn_southern_rust\fpon989.jpg,corn_southern_rust,corn_bipolaris_spot,0.882
2187,corn_bipolaris_spot\mbir974.jpg,corn_bipolaris_spot,corn_southern_rust,0.898
154,corn_bipolaris_spot\mbip064.jpg,corn_bipolaris_spot,corn_southern_rust,0.71
6397,corn_southern_rust\fpom758.jpg,corn_southern_rust,soybean_target_spot,0.894
